neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
145.970501,162.622427,112.130966,159.737126,165.400771,168.406013,101.178932,167.377319,131.914718,85.728329,173.415497,130.225778,89.449694,87.474022
169.737079,166.601498,124.713905,53.577912,125.421272,66.018372,97.698449,171.925288,95.672055,89.394361,169.640627,96.045563,89.450339,87.473797
156.697276,162.022746,114.959699,35.418786,119.667172,37.874517,93.795466,159.836040,79.116092,87.777275,163.860440,78.446493,89.450225,87.473443
159.431710,155.037358,126.344901,38.933048,125.097780,35.801158,94.448352,164.502792,78.273264,87.750147,168.783418,75.198717,89.450121,87.473712
164.179443,153.810448,132.010541,43.218186,125.874214,56.217181,96.168965,165.374508,74.115960,90.856085,161.859175,69.309224,89.450498,87.473519
159.703869,151.056054,133.035072,47.552563,127.147490,66.041741,96.811268,166.822712,72.766059,93.075241,155.107107,67.140022,89.450337,87.474258
160.010416,149.912434,135.767814,49.301657,125.997203,75.913020,96.556110,159.672059,70.516318,96.131189,147.698733,70.214841,89.450244,87.473518
159.087958,145.670718,133.421514,46.926104,124.761562,85.135997,96.242819,148.375476,78.348152,99.314934,143.971318,71.705118,89.450037,87.473867
159.543919,144.671073,133.727470,48.657652,122.600068,79.047552,97.232871,143.057827,80.552297,99.676415,144.168093,73.369731,89.450294,87.473653
166.545477,141.991618,137.770529,48.960765,125.914293,79.348993,100.272623,141.620460,69.178143,100.358011,142.461695,74.424028,89.450531,87.473898
169.412949,141.323407,138.473156,48.421750,126.821525,73.787969,103.926305,140.465311,67.914646,101.749646,137.071119,73.856880,89.450831,87.474296
176.672150,140.269878,142.020508,49.069358,142.007618,61.534588,105.107682,139.288366,67.651115,106.727213,132.326374,73.745865,89.450505,87.473899
157.707874,139.450375,144.364145,49.058182,142.345056,60.713875,105.038790,137.322163,67.741237,109.852013,130.143367,69.806304,89.450308,87.473579
159.280740,137.877687,141.566504,63.608069,141.422259,66.619103,104.367238,135.173194,75.353280,115.804975,121.604205,82.738662,89.450517,87.474105
160.717028,133.797204,140.885711,62.546926,146.738062,68.363667,103.629980,135.012467,79.760292,119.080012,115.932896,87.980803,89.450063,87.473317
171.238201,135.808804,144.194318,69.610184,151.616597,72.593653,103.005130,137.044143,81.165470,121.850632,108.069446,71.795022,89.450105,87.473658
164.972199,136.504773,145.357581,72.479298,153.600920,74.314463,102.751866,137.865330,81.761020,122.936214,104.867454,67.476943,89.450002,87.473924
151.235084,135.258315,138.926699,71.857237,153.571755,79.588772,107.619943,130.119077,70.043036,126.463129,89.403133,84.314360,89.449883,87.473282
157.985403,135.448597,142.315169,68.163775,151.424165,72.764664,113.403265,125.049591,68.784959,128.706056,81.415817,91.653128,89.449811,87.472997
160.670344,135.680988,143.954064,66.676870,149.923886,70.030484,115.760800,122.992197,68.792544,129.585726,78.162008,93.845756,89.450779,87.473515
152.405566,136.855001,155.812630,75.463370,153.735478,38.913576,127.878313,116.048181,68.802537,133.026373,66.119069,116.776422,89.449235,87.473562
149.477420,137.006733,159.729421,79.037263,155.071996,34.578663,132.770034,113.227833,68.805831,134.298828,61.227840,125.732396,89.450290,87.474241
174.086322,137.848946,145.493268,67.850142,148.951427,33.872791,149.523082,79.689822,68.804908,140.906623,60.382340,129.419377,89.450199,87.473500
169.665955,138.180068,143.650825,67.210151,154.623967,34.452610,151.942304,67.238727,68.806834,141.418598,58.703811,130.079704,89.450843,87.473560
165.288095,137.262625,145.060818,65.360137,143.677979,58.480682,151.997318,60.807540,84.629693,136.261661,55.141976,130.199155,89.450345,87.473664
172.073999,137.080995,144.300840,58.504226,147.995703,64.224417,155.127523,55.433621,118.344736,138.068977,52.189456,130.220402,89.450453,87.473609
171.628259,137.047987,144.571685,57.061054,148.722817,68.400790,159.798216,53.460981,123.959625,139.597024,51.289269,130.224546,89.450411,87.473878
169.842415,137.045817,146.311382,60.042421,149.320563,38.826588,163.441466,54.106909,123.833115,141.125388,51.022390,130.222335,89.450682,87.473499
171.712796,137.625532,148.756302,58.528021,134.574984,51.408387,165.170776,55.499303,116.567787,140.280054,50.893770,126.035333,89.450395,87.474010
171.444806,137.971587,146.874020,58.467744,131.741876,58.068952,166.508565,55.788778,115.887558,139.907720,51.435460,126.621612,89.450151,87.473801
167.115549,138.048524,145.137974,58.757619,134.055729,63.225987,167.291549,56.137521,116.462364,140.352843,52.078786,129.553162,89.450379,87.474323
167.809105,138.154557,144.766812,58.742190,138.609278,68.547402,167.715140,56.669540,114.861692,141.052662,52.550969,130.097077,89.450627,87.473879
168.030335,138.199988,144.605040,58.733762,140.356818,70.730714,167.888788,56.886334,114.186683,141.336905,52.742585,130.200418,89.450436,87.474093
163.292424,139.179600,142.001717,57.409205,143.862676,69.366069,167.801213,60.312354,101.080573,140.698401,56.866755,130.220647,89.449838,87.473547
175.628367,140.058247,142.963905,57.631375,142.608624,69.650174,166.765771,61.554558,105.466943,139.723421,57.247229,130.224526,89.450336,87.473137
178.598871,140.390282,143.262657,57.721551,142.104965,69.765916,166.351953,62.056487,107.254328,139.338512,57.401922,130.224729,89.450030,87.473891
175.919182,139.607041,144.727824,55.890496,141.935340,63.576838,169.106772,60.373694,110.028246,137.413615,56.357420,130.224313,89.449740,87.473891
164.122131,139.530369,144.108247,53.827656,147.976736,57.650787,169.667187,58.251429,98.911666,139.387929,53.471599,130.225935,89.450142,87.473633
161.229594,139.338538,143.394170,51.945733,148.578168,51.741830,169.768148,57.156613,94.548478,140.268951,52.494141,130.223426,89.450457,87.473396
164.081322,138.919091,146.253068,49.532283,152.936335,36.465848,169.787893,55.781428,94.190891,140.349440,53.916684,130.225087,89.450358,87.474028
156.841489,139.356580,143.681208,56.649452,146.422253,58.774195,167.704864,57.364071,93.376347,140.969895,54.157874,130.179180,89.449855,87.474026
156.845936,139.527524,141.221753,59.038148,143.708714,62.749684,167.025306,58.754226,95.314005,142.171149,55.775932,130.215568,89.450242,87.473575
166.438281,141.479053,140.664295,58.835409,139.897541,62.408295,164.518075,63.310411,100.192481,147.729650,60.391309,124.751017,89.450348,87.473415
154.311264,143.855890,141.409696,52.520598,141.592803,37.971162,160.831538,67.144031,109.064140,148.705757,68.211368,129.198865,89.450383,87.473725
172.860856,147.676072,134.978775,47.169151,132.571379,35.136432,153.388430,68.930095,121.619356,140.091636,73.211157,130.028586,89.450447,87.473577
177.538725,146.248943,130.189584,46.780941,128.276060,33.974544,150.611710,76.487752,119.597810,139.208999,76.888293,130.186101,89.450460,87.473705
157.630928,144.691532,117.635201,54.308623,141.139380,49.344448,128.478573,109.956000,78.229220,145.066342,89.470741,130.218613,89.450552,87.473879
149.823800,138.936912,111.045133,48.265871,142.497719,36.176689,105.839362,135.292736,73.882331,134.232904,101.518401,130.224202,89.449938,87.473707
172.193499,137.783256,110.011105,45.670675,141.008794,40.015363,97.452647,144.738501,68.821920,129.939393,105.658629,124.012912,89.450567,87.473534
174.902446,137.562559,105.744173,43.630521,136.830800,39.561960,94.330010,147.101318,68.038470,126.735996,110.652706,128.394147,89.450691,87.473968
172.852779,146.666509,110.079615,41.737616,126.894844,40.450468,93.105216,143.997446,69.074836,120.211049,118.300429,129.877140,89.450626,87.473967
170.587570,151.802254,112.123363,46.852727,125.809850,38.780263,91.657984,140.276873,85.764904,116.078231,122.333739,130.158647,89.449852,87.473673
174.657560,153.777932,113.476838,47.813277,123.974392,37.250509,91.177251,138.862179,88.562077,113.979976,123.826587,129.443066,89.450429,87.473906
175.032793,155.253206,114.916648,46.143845,119.572095,34.731924,91.244812,139.290092,79.656014,112.552798,124.153680,127.035523,89.450472,87.473592
172.936870,155.717840,116.134847,45.767372,113.431195,33.906086,90.378693,140.119063,76.869241,109.773586,127.043963,129.464578,89.449811,87.473648
157.626879,157.274273,115.831367,47.771265,122.832800,39.799527,88.678804,140.554701,77.884098,106.608903,126.850876,104.862165,89.450109,87.473306
153.872054,155.968020,115.979886,46.585031,128.329637,42.167531,87.777005,141.323180,80.930874,105.366627,128.690719,104.325962,89.449997,87.473677
154.044777,155.451488,115.523899,45.614893,128.587452,43.580968,87.403295,142.898908,80.595709,104.119198,131.660312,103.284600,89.450321,87.473963
152.908946,155.732975,116.754630,44.320553,124.733517,42.007108,86.435547,144.808416,78.629102,101.260437,135.557015,101.455670,89.450236,87.473755
153.327782,159.214003,120.955090,38.852147,125.737185,49.872907,84.513475,149.718964,78.255547,96.608933,141.170326,105.059531,89.450180,87.473354
157.618232,159.788428,124.123172,44.340327,127.233717,54.025133,84.044308,148.851727,78.183699,94.876118,146.366304,96.446031,89.449762,87.473837
158.166845,159.297784,125.519708,46.682563,127.113466,55.990748,83.815213,148.650424,78.171541,94.266620,149.105415,92.239624,89.450276,87.473749
158.384820,159.099855,126.065360,47.633256,127.068832,56.792870,83.720696,148.567245,78.167754,94.026802,150.218751,90.524113,89.450349,87.473574
153.333667,159.228651,122.395987,38.423988,132.978338,51.931008,84.764410,148.180587,78.167050,94.242485,150.206344,87.788146,89.450609,87.474143
