neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
149.297098,153.256550,111.666814,130.351909,134.047028,47.361026,101.442852,159.733078,131.915212,88.541648,158.302136,130.226301,89.560244,87.362332
164.308274,151.738062,115.418875,89.638415,124.905380,41.728841,99.615037,167.708387,131.915548,84.692851,165.467928,130.224112,89.560825,87.363212
170.025459,148.774132,110.308748,70.684593,125.729276,55.983926,94.227422,154.919891,87.543854,90.300623,150.098615,130.224774,89.560304,87.362381
170.713476,148.140501,108.759545,64.660721,126.403033,60.020265,92.433222,149.375269,79.828343,92.912064,143.669548,130.223990,89.560811,87.362721
171.097792,147.880489,108.655052,62.400047,126.476900,65.251837,91.767195,148.688405,78.397955,93.963917,142.462646,130.223435,89.560019,87.362786
170.499369,147.866189,108.606250,62.898469,125.669764,70.459016,92.250979,151.716276,78.208711,93.919381,146.298474,130.224430,89.560403,87.362812
169.262512,147.947049,109.856146,63.064973,126.121320,73.690742,93.499695,151.286455,76.897996,95.110462,147.129161,130.226251,89.560717,87.362775
168.047884,147.789254,109.065068,61.096478,123.501241,65.425683,97.511651,148.590719,72.414923,98.351846,143.880456,130.225153,89.560218,87.362350
169.602864,149.373869,110.017442,64.356676,124.571069,54.662904,99.084091,146.479404,72.365340,99.352499,143.814462,130.224885,89.560687,87.362830
166.533519,150.537625,110.650892,68.789341,129.073191,62.740757,100.714155,144.741726,70.332089,99.819976,139.761815,130.225063,89.560329,87.362575
172.286069,150.143511,107.006457,75.658660,125.118102,66.760000,101.578423,143.516878,69.530204,99.798831,133.633710,130.718024,89.560361,87.362508
175.047034,149.426886,120.129354,75.913262,127.807262,54.315695,104.888559,134.681576,69.477046,95.978834,131.158187,105.347890,89.560340,87.363080
173.920890,146.724886,123.673531,71.936976,121.907588,50.796243,108.829399,130.968107,67.804454,95.827245,127.413666,80.567795,89.560541,87.363112
173.390941,140.818552,127.606659,73.128778,130.897362,48.027557,107.522461,133.665624,67.754748,102.616181,116.355146,72.402669,89.560328,87.362813
165.523428,135.761796,128.165947,74.120934,132.023728,41.198525,109.741575,138.512771,68.138171,106.054418,110.019989,73.500548,89.560758,87.362687
158.946015,134.347627,125.067976,68.591114,141.182072,50.084328,111.046680,140.450358,68.582851,109.503868,106.194238,91.722666,89.560927,87.363090
173.013290,132.492079,126.442264,78.953907,150.107833,77.030964,121.779508,132.031365,68.763818,114.486708,95.302679,91.472644,89.560541,87.363054
173.356237,133.401826,127.257782,80.695890,144.610996,74.298680,127.334099,129.624212,68.799532,117.478025,91.698700,98.169593,89.560709,87.363170
161.876075,133.822801,134.799556,81.590183,150.436673,69.595363,130.591896,125.310054,68.804230,121.132352,84.156269,99.288073,89.560666,87.362378
162.119692,134.450260,136.853512,84.921983,149.475637,63.599976,132.622172,123.205070,68.806538,123.721680,80.831509,102.280210,89.559999,87.362574
166.165170,133.982374,137.171957,86.807142,148.923109,61.784832,134.512010,122.430063,68.805725,125.712949,78.872481,105.960525,89.560480,87.362690
168.352322,133.279033,136.091976,91.073640,146.691049,65.168236,143.005166,117.389491,68.808799,129.628660,73.295184,117.013160,89.560040,87.363094
175.681878,139.631701,130.369210,77.542982,144.558698,63.889925,145.624428,109.709007,68.806451,135.590273,71.552623,125.603005,89.560542,87.363114
166.667617,135.470999,131.059458,88.299040,134.216019,57.560764,152.931615,99.374395,68.809631,144.981255,59.971954,129.885435,89.560689,87.362812
166.530306,136.277979,132.614513,80.643020,155.102295,37.274284,153.860085,85.336053,68.802579,148.865339,57.123470,130.191623,89.560305,87.362320
165.541811,137.262376,132.680748,81.502613,159.996582,43.875790,153.823334,82.492290,68.805736,150.484025,54.983933,122.800234,89.560564,87.362752
164.514124,137.615531,132.567074,81.850563,161.157730,46.784441,153.762202,81.334605,68.802634,151.132304,54.115873,119.750336,89.560262,87.363234
164.015676,137.740509,132.493700,81.991023,161.443982,47.990968,153.727326,80.864927,68.806236,151.397213,53.763671,118.507753,89.560878,87.362875
163.804827,137.799077,132.460817,82.049037,161.521803,48.482551,153.709509,80.673252,68.808580,151.500729,53.621028,118.003095,89.560111,87.362380
149.451822,136.647249,132.850051,84.415973,147.874075,76.820546,153.140508,64.889611,68.806463,148.144081,57.243501,115.217773,89.560379,87.363168
168.923415,136.303688,134.866762,84.247157,140.949567,82.252806,152.765365,61.416004,69.681539,147.193427,61.543103,124.789320,89.560283,87.363051
169.782942,136.828057,134.415470,81.974130,137.582208,78.556646,152.406533,64.355971,69.724705,145.758187,65.287489,116.296664,89.560291,87.362773
169.005004,136.715267,133.700993,81.057593,136.985225,77.063113,152.285353,65.552372,69.745017,145.168048,66.803504,112.770099,89.560601,87.362822
170.356667,137.526246,127.469270,59.612373,134.204869,71.517134,152.217844,74.278659,96.492184,139.200623,84.742608,114.546133,89.560524,87.362516
169.303712,136.786563,124.615523,51.280715,134.064803,67.737939,152.411619,79.204947,107.830698,134.781387,92.626407,112.108867,89.560308,87.362620
170.191352,136.884867,125.933989,58.135606,134.002539,54.310449,152.710562,90.355339,99.293322,123.211825,101.173954,94.393826,89.560703,87.363068
161.413163,137.609209,124.338187,56.519518,130.524728,51.531787,150.148478,95.534766,80.416389,117.671662,106.538817,94.784905,89.560434,87.363059
155.752285,139.183653,125.016081,55.670309,127.893330,54.260217,142.564005,108.350818,84.666027,115.892824,109.007424,95.165481,89.560131,87.362675
172.060738,138.764721,122.164685,58.279561,128.364873,55.548018,131.731564,119.057359,88.484356,115.705519,113.880239,98.608730,89.560305,87.363019
161.036763,140.830253,122.128552,55.575838,123.733222,52.782261,124.951595,124.593565,88.887879,113.130721,121.393145,107.756925,89.559787,87.362364
162.925557,142.482835,118.922400,56.222224,122.343354,52.201942,119.991233,128.315102,94.197152,110.899021,127.314219,103.379226,89.560209,87.362561
169.026187,144.369830,117.522997,49.573917,118.628633,48.502578,114.535342,132.133824,85.414506,107.678643,129.713652,91.528234,89.559920,87.362433
172.545369,145.032431,117.793444,44.803329,122.940460,45.825563,110.099738,134.068420,81.195032,108.635682,130.194763,117.130947,89.560294,87.362262
174.106901,146.825629,126.935172,52.056517,111.539437,39.766776,101.764579,141.695677,82.727188,104.114706,136.535316,110.716278,89.560369,87.363037
160.857218,147.121843,136.911859,58.570878,116.023635,37.912133,98.440569,141.493259,73.094732,102.410100,134.408976,102.741411,89.560971,87.362924
170.556265,146.545596,136.116213,55.653911,123.538387,40.778383,97.324332,142.252540,73.375264,102.565653,136.857982,92.776844,89.560287,87.363027
160.411582,146.711686,134.072059,55.819607,123.955644,46.066739,96.258541,141.116515,73.490310,101.726673,140.277220,94.160735,89.560040,87.362474
166.272486,143.826109,140.593867,61.977506,128.449067,57.521874,92.225455,139.116848,72.898653,103.985149,138.984979,97.615841,89.560257,87.362722
177.270047,145.950113,139.572763,49.773581,131.287412,72.349662,91.884609,139.444372,71.094474,102.923602,138.625681,106.740007,89.560312,87.362560
171.764320,146.556837,137.316770,50.535075,129.757221,80.151593,90.626238,142.615395,73.936120,101.750586,139.972810,103.930965,89.560351,87.362750
169.424480,146.797145,136.404287,50.843428,129.140375,83.360496,90.093586,143.898297,75.099209,101.279318,140.516904,102.863348,89.560473,87.362861
157.449003,149.754801,140.965461,45.744814,130.219351,87.288653,88.461730,145.713295,76.826982,95.731421,150.645581,97.201176,89.560311,87.362615
162.173212,149.326252,147.844219,42.276332,132.230183,90.356620,85.346154,143.650138,77.061355,93.338493,156.966590,90.301131,89.560312,87.362746
159.572371,150.525071,145.193830,42.057876,133.738155,88.834776,84.446092,149.741542,77.890750,91.550997,160.039004,90.721275,89.560450,87.362623
