neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
145.473760,160.126184,123.604913,175.000020,130.186976,168.405038,94.343107,176.716876,131.917098,89.483101,173.415184,130.225803,89.490770,87.432797
160.301151,160.825089,123.274691,175.002901,140.102710,168.405203,95.338488,174.586705,131.913369,84.109996,177.231940,95.626018,89.490545,87.432936
177.283236,166.488322,117.209086,153.104070,119.317335,51.039067,92.491074,159.514924,131.913705,87.208314,172.676640,118.401405,89.490372,87.432641
171.048579,159.374555,108.244925,111.594074,115.968319,36.029644,92.032288,154.311127,131.914984,88.029956,170.377519,114.469350,89.490630,87.433307
158.045929,154.889893,109.099666,80.664002,114.460985,34.389484,91.157976,155.078199,131.914489,88.620114,168.854622,105.842973,89.490321,87.432621
154.550184,157.341180,128.878868,50.760717,118.111009,39.755646,91.400473,158.992872,124.995699,91.222838,162.312143,98.801555,89.490102,87.433083
166.154112,158.402971,132.651438,50.099386,115.022136,49.201062,92.607904,155.782921,125.643982,93.869749,165.149308,98.433746,89.490621,87.432629
155.759618,156.515258,129.754422,48.256039,118.063851,64.466425,93.398284,156.137652,117.149755,98.378050,143.743532,90.106842,89.490275,87.433283
153.798246,155.596609,130.131967,48.053912,117.297742,70.852282,94.044428,151.693311,113.112889,100.016004,137.722215,86.663894,89.490830,87.433092
157.022423,152.094463,139.715461,47.126046,119.405375,75.067080,96.299930,145.535697,125.754625,101.506914,136.508126,85.308495,89.491217,87.433144
162.173702,155.028151,158.542776,48.903863,119.169143,71.981796,97.258877,141.941712,130.759789,102.038287,135.783330,82.784307,89.491139,87.433219
158.739580,151.837729,140.345401,40.873538,124.565840,72.572891,98.000234,135.137114,131.695697,103.607322,131.912721,89.317927,89.491241,87.433418
173.332388,147.852676,138.941815,43.795342,130.485408,69.908332,100.776529,128.985997,131.873153,106.902398,129.308084,92.916595,89.490910,87.433266
167.739196,145.745730,137.152123,46.147015,133.217060,69.122896,102.037860,125.190858,131.905171,107.802481,127.261585,87.971631,89.490070,87.432950
166.921761,145.406509,136.123100,47.703654,134.235356,70.330630,102.988528,123.209420,131.261847,108.834047,125.482623,84.576416,89.490355,87.432261
157.371426,141.518751,138.251104,54.666464,142.450990,77.622017,106.800064,117.815193,101.117347,114.792561,113.616973,87.202673,89.490833,87.433270
169.156513,138.137635,138.349021,57.637101,146.954144,83.219660,109.951269,116.638421,72.926182,117.417778,104.680934,79.005527,89.490146,87.432794
166.562819,138.923157,133.243998,62.831888,147.078027,79.380720,111.875683,114.767816,75.029166,119.820747,96.088239,77.571135,89.490863,87.432837
156.811522,138.788229,132.973972,69.533136,155.839796,80.600654,115.015775,109.942425,73.575411,121.873275,89.268413,78.206642,89.489689,87.432294
170.307337,142.080653,169.780130,79.763776,159.944530,77.807114,116.467123,103.925536,69.659341,124.937382,83.563348,81.537722,89.490302,87.432612
154.690802,143.005445,178.665925,72.692316,160.065264,75.033386,117.960811,95.633951,68.966345,128.968932,77.846774,79.114563,89.489766,87.432852
152.462184,142.997785,176.003081,69.933069,158.621318,74.178703,118.097839,92.044608,68.767081,131.262213,75.393432,77.931102,89.490709,87.433003
156.574088,141.194671,173.577977,71.474797,156.475006,82.400095,127.763889,85.291570,68.795880,137.442250,68.297050,85.934221,89.491172,87.432824
169.024775,141.211973,169.922346,77.546753,157.907445,88.116184,142.808714,71.899518,68.932573,140.903348,59.007571,93.581733,89.490357,87.432732
169.674478,140.562435,168.397651,70.992332,152.527560,85.079782,150.664324,62.871745,72.879795,143.054945,54.210024,100.394283,89.490358,87.432434
169.846478,140.300564,166.144455,68.348424,149.940655,83.858729,152.117129,59.211734,74.477625,143.917631,52.265090,103.089982,89.490231,87.432948
169.902711,140.191913,165.086493,67.280573,148.839603,83.364596,152.406015,57.725604,75.121033,144.260427,51.475466,104.175385,89.490214,87.432792
169.923737,140.147406,164.640579,66.852091,148.388837,83.166547,152.473214,57.121996,75.381730,144.401807,51.153544,104.613677,89.490535,87.432672
178.381620,140.978076,174.858813,74.573101,145.089406,80.349599,152.511685,65.281706,80.842342,145.885925,55.365438,96.172720,89.490555,87.432948
178.089177,141.313524,178.178684,77.708308,144.269506,79.216284,152.528510,68.608136,83.051469,146.439873,57.077994,92.772426,89.491136,87.432952
177.203807,141.718397,176.120519,78.348042,147.869639,83.351519,152.555781,70.748283,83.415668,146.749084,58.743594,91.633060,89.490449,87.432840
166.583909,143.866042,167.480766,40.002681,145.549386,90.489624,146.519598,76.287005,83.981291,146.717416,67.616405,98.718098,89.490551,87.433112
160.880813,142.383142,171.933595,33.390804,149.573196,80.420576,137.868481,87.300247,85.615451,139.916321,76.199560,95.215635,89.490970,87.432914
173.637687,140.613551,159.288681,51.509447,158.734573,76.352428,122.012179,105.928055,92.803934,130.988945,98.445900,81.134905,89.490630,87.432969
168.559965,139.134027,139.881942,55.358376,160.023792,78.128386,109.257172,119.043437,84.433703,124.617608,110.387555,88.322004,89.490794,87.432967
175.492943,139.092202,133.672030,59.673619,155.239719,80.639459,104.232287,123.013521,76.797668,122.986082,110.381368,87.449763,89.490713,87.432701
168.019178,139.431660,135.626964,56.739778,152.756282,85.926065,100.414541,125.442721,82.247219,120.402411,112.381846,95.779752,89.490652,87.432589
165.139227,141.467286,149.201891,43.635404,149.788446,92.422776,98.883288,127.699447,83.703453,116.993252,116.709095,95.143634,89.490609,87.433196
160.295527,142.616360,133.702025,41.039755,146.903387,97.620537,99.119451,126.935181,81.021088,114.170705,118.091693,91.952689,89.490381,87.432247
172.772175,146.676548,133.492372,39.304014,145.296474,98.648260,95.261604,138.322889,70.432862,107.878104,129.365976,80.546243,89.490725,87.432398
168.241702,147.803671,132.767612,36.245335,144.216543,101.229901,94.243680,142.600476,69.041027,105.088504,135.012812,74.661392,89.490278,87.432923
168.630184,148.914956,133.929035,35.964440,143.318869,96.826573,93.755650,144.561608,69.402164,103.802896,137.764037,72.038535,89.490269,87.432923
168.325637,151.127011,129.940282,36.256077,138.091057,97.343693,94.018158,147.286240,70.773893,99.486623,142.814317,88.401239,89.490634,87.433161
167.991116,151.137351,131.958595,36.171534,136.622233,98.365247,93.721351,151.494339,72.438216,96.879884,146.333491,97.978432,89.490199,87.432878
159.152959,146.338170,129.840588,43.918026,137.025061,67.765508,92.330706,151.202008,71.391646,94.382465,150.602072,92.132487,89.490225,87.432874
154.519455,149.050844,123.128203,47.357791,133.683723,54.202975,90.259017,149.465710,72.086212,90.110784,160.791643,97.844094,89.489852,87.432032
153.565679,152.484108,124.743364,50.423005,127.704999,48.831890,89.772782,147.909155,72.604428,88.086851,164.201750,98.989379,89.490846,87.433088
153.967296,154.142601,125.971458,51.943866,124.835741,47.260077,89.351470,147.628953,73.356912,87.244963,165.019662,98.492327,89.491170,87.433213
162.059127,153.136226,125.820886,51.015968,125.108337,48.495920,88.224328,148.805433,76.575643,87.344265,161.418735,91.004055,89.491059,87.432944
163.020537,156.227504,121.252057,53.370166,124.171485,60.339329,87.157328,149.646404,77.858778,87.631421,156.289698,88.365675,89.490931,87.432696
155.150880,156.898612,122.066817,56.333949,116.618890,63.080392,86.620014,150.596800,78.108425,87.738858,154.679858,87.892747,89.490666,87.432914
153.537781,157.167596,122.319771,57.536563,113.566768,64.195646,86.387921,150.980578,78.155455,87.782290,154.031328,87.711361,89.491061,87.432805
155.634573,157.710684,124.367740,55.130297,116.255153,67.805726,86.904294,150.560210,78.878224,87.929946,155.351881,88.704993,89.490794,87.432651
157.386563,161.472807,124.855609,56.324677,114.942503,65.820562,86.556665,151.687937,79.746715,88.874482,153.527010,87.943072,89.491134,87.432584
165.349094,163.487473,128.030465,49.201427,115.461571,58.709932,85.866441,149.385682,78.470903,88.989273,153.096133,85.145334,89.491110,87.432891
173.335989,165.371481,129.025800,47.235937,122.087714,53.369210,86.402926,146.855743,78.226460,89.102365,153.328430,81.354266,89.490784,87.433355
177.555788,166.126181,129.252803,45.371484,125.366241,56.772203,86.395760,147.453375,78.178465,89.401531,153.807682,78.520175,89.490736,87.433013
