neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
145.823294,162.966417,129.454403,175.009205,111.099731,168.406588,94.099802,175.768931,131.914393,90.538040,173.801920,130.225326,89.462760,87.461125
160.966975,167.306576,115.810174,165.629543,109.723467,163.962296,92.426957,175.055721,131.915062,88.978252,175.190987,130.232542,89.462510,87.461725
173.781646,167.810043,115.401956,148.980426,102.675042,150.563556,91.464157,169.238810,125.643641,89.305315,178.393984,119.022682,89.461647,87.461288
160.720962,162.322945,108.624440,129.333626,101.054758,145.832256,90.905919,166.581546,111.092660,91.250391,170.413438,98.261325,89.463194,87.462035
154.913532,159.753925,105.051652,121.267203,100.250353,143.901504,90.635129,165.495132,105.130611,92.034443,167.086090,89.871652,89.462251,87.461403
153.285589,158.684588,103.488263,117.966817,99.896800,143.117202,90.518745,165.052109,102.698285,92.350739,165.734016,86.521906,89.462552,87.461319
152.978953,158.247797,102.835599,116.622111,99.749744,142.798771,90.470632,164.872164,101.708292,92.478410,165.187085,85.173204,89.462282,87.461465
152.919130,158.070504,102.567503,116.070979,99.688733,142.670233,90.450709,164.801270,101.308248,92.530043,164.964537,84.628202,89.462515,87.461513
152.616651,156.277188,103.155337,116.749945,102.442531,149.501760,93.560306,160.450995,76.817596,95.271539,158.330933,85.124482,89.463116,87.461824
152.198588,155.544862,103.328054,117.025401,103.530656,152.242140,94.803200,158.682724,71.280027,96.378597,155.639316,85.404102,89.462574,87.460233
151.985787,155.249120,103.379900,117.137557,103.964052,153.343579,95.303730,157.965220,69.963878,96.825649,154.548317,85.531094,89.461735,87.461059
171.703161,154.962229,110.604538,126.613214,107.821258,148.820077,98.280950,154.063754,79.308521,98.918369,146.729390,84.198806,89.462314,87.462947
177.949848,154.844849,113.572738,130.438026,109.311862,146.980847,99.356849,152.482029,83.084581,99.653714,143.551858,83.788914,89.462996,87.461303
173.476059,153.172425,115.584647,134.632439,106.960234,146.570445,101.969298,152.501428,83.725583,102.086652,139.650093,79.635201,89.462841,87.461857
157.212184,152.493321,123.416792,160.857727,104.024296,144.970960,106.438111,151.503093,83.114837,107.518103,134.817700,72.591263,89.462384,87.462653
152.980451,151.396627,129.337170,173.843032,101.245471,146.855813,110.703750,150.397737,79.277496,111.958506,130.880913,67.810476,89.461313,87.460191
150.790326,151.818138,144.342636,174.934321,115.179549,164.732562,119.132303,142.759467,70.744110,123.409297,117.460061,66.917916,89.462026,87.460524
149.900448,151.612218,148.030509,174.999982,120.647613,167.748081,122.566429,139.659349,69.171947,128.036581,111.993247,66.746309,89.461565,87.460105
149.543891,151.468223,148.896409,175.005923,122.815387,168.282989,123.964401,138.399868,68.874637,129.910611,109.766551,66.718230,89.460939,87.460858
149.400755,151.399316,149.122902,175.009836,123.687347,168.382474,124.533395,137.888018,68.817482,130.671104,108.860250,66.711756,89.462449,87.462313
149.342913,151.369774,149.200665,175.007193,124.037088,168.401177,124.761964,137.682444,68.809226,130.979086,108.493410,66.710712,89.462215,87.460932
149.528882,143.485159,141.926666,175.009634,132.474365,168.404835,122.996359,135.445723,68.804649,129.644784,103.260511,66.710587,89.462939,87.461988
150.556363,144.074954,141.250745,175.010503,109.113427,168.406270,125.421011,134.707632,68.807032,135.625432,101.267114,67.074099,89.462911,87.461278
150.922577,143.808093,139.775932,175.010425,102.009422,168.405998,126.401210,134.411836,68.804985,138.032007,100.458218,67.217766,89.462341,87.460777
150.917702,143.138125,140.089323,175.008463,100.696701,168.405441,129.182406,133.904778,68.806044,142.819345,95.913412,66.809268,89.462636,87.460933
150.912531,143.055853,140.135326,175.010431,100.160107,168.404403,130.309095,133.699694,68.805864,144.738713,94.068775,66.726736,89.462311,87.461485
151.675393,146.086512,143.341449,175.008259,109.069596,168.405480,129.139092,129.556499,68.809278,147.853535,88.314576,66.711900,89.462288,87.462169
157.982740,143.283698,150.760691,175.010861,112.651526,168.408658,129.998307,126.214126,78.376167,146.312234,84.464334,66.617023,89.461608,87.461237
150.110677,139.905730,154.537165,175.011195,107.012052,168.404267,128.386443,120.898616,89.232194,140.389946,85.522327,79.203380,89.462566,87.461570
169.486629,141.973104,147.483805,175.009665,102.853432,168.407527,125.895136,120.200628,81.786788,138.053031,88.808878,90.285630,89.462726,87.461791
170.630574,139.479779,154.470667,175.008047,99.665038,168.405366,119.784547,122.903998,86.570896,131.926986,96.116275,100.266170,89.462475,87.461525
170.405651,138.448800,156.702218,175.007089,98.415011,168.406119,117.315377,123.995383,88.873729,129.499643,99.073732,103.295442,89.462583,87.461532
163.272022,135.978921,146.392616,163.014165,93.994954,168.405381,113.324743,126.915421,92.374325,127.535676,104.633448,91.847769,89.462174,87.460834
154.196932,133.865410,140.175807,173.986128,92.359410,149.065523,108.291962,129.089281,87.551602,123.102607,113.108086,108.697292,89.463021,87.461599
171.795552,133.714287,136.580037,172.218732,92.108509,130.753164,105.525646,129.970186,87.432734,121.224083,116.656836,114.805707,89.462237,87.461395
163.503456,138.065432,132.669356,147.661446,109.255614,45.947533,99.587541,135.322853,86.832770,117.092607,120.874115,127.860288,89.462534,87.461328
174.127884,140.665289,134.257109,130.199623,120.336406,35.417269,96.527312,139.555192,73.421024,113.240361,123.422576,120.923377,89.462093,87.460772
172.810596,142.969243,133.453333,88.699560,136.383122,33.973095,96.063727,142.902597,70.302704,110.289224,124.754617,118.915292,89.463092,87.461270
167.470476,143.525391,133.059885,52.065417,139.129745,33.740616,94.714223,148.109522,70.784543,107.204742,127.002818,106.517213,89.463044,87.462449
164.854064,144.393351,132.427343,44.685858,138.797972,33.701127,93.813475,151.621282,69.989974,104.642903,129.899339,94.382177,89.462433,87.461112
164.187339,144.713630,135.374991,44.427257,138.667515,33.693497,93.392003,155.750262,68.196641,102.286458,132.793457,82.565772,89.462333,87.460782
155.547742,145.193216,139.523786,43.270525,132.387070,33.692380,93.642136,159.137272,70.216999,100.923253,135.276191,84.570597,89.461589,87.460524
155.254531,144.542671,141.509957,44.136635,121.419983,33.692849,93.194353,160.271506,70.884928,99.295912,138.157764,94.161089,89.463526,87.461560
150.324327,143.391924,141.735985,44.610963,108.922163,33.693265,92.144561,160.454535,70.001416,97.978727,138.793115,101.215603,89.461930,87.461165
148.995949,142.258026,141.600198,48.210705,107.861541,33.692672,91.015132,159.648932,75.967623,96.830888,141.516617,85.191429,89.461959,87.461361
153.305473,142.586948,138.569770,39.800983,107.189851,33.692707,90.000191,159.081267,70.001735,96.861391,143.738100,84.253651,89.462541,87.461087
