neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
149.029495,162.109354,121.441463,175.036376,124.584191,168.406947,92.289715,176.869787,131.914462,92.222124,177.529589,131.467856,89.537270,87.385247
157.552705,173.469304,110.319259,70.032837,110.987161,61.252560,92.719178,169.483883,131.913694,92.777436,164.521930,102.499590,89.537222,87.385604
159.684117,167.406771,120.252036,48.435695,110.690622,43.789163,93.746599,159.058258,131.915948,94.881457,154.547980,77.651469,89.537234,87.385606
157.465278,159.026024,135.290678,42.777377,109.928468,44.481814,93.210646,158.448031,131.912801,96.010508,156.542002,74.122252,89.537245,87.385321
154.654742,157.120601,136.822780,47.950778,113.368091,51.719077,93.290812,157.802218,131.912862,96.539537,157.708139,74.337359,89.537243,87.385455
154.080542,160.453134,133.711798,49.932010,113.596822,71.671855,95.243788,151.435965,131.916399,98.995728,153.553445,73.674365,89.537295,87.386578
153.918575,159.351607,133.556215,53.328626,112.101055,77.779888,96.557030,147.338275,131.915206,100.728968,147.991343,71.324129,89.537256,87.386395
160.713440,152.682553,131.901279,54.068150,113.843456,72.011159,97.871499,143.171626,131.913969,103.813242,142.298801,72.930521,89.536643,87.385748
161.909432,158.917527,133.878117,60.201870,114.445027,75.374135,103.689653,127.640438,131.915283,111.142917,132.798616,74.220592,89.536327,87.385068
164.552894,160.218922,133.312081,62.671764,115.284740,76.335017,106.204462,121.854653,131.913999,114.044145,129.593816,76.035212,89.535965,87.384894
152.112991,156.617558,130.957065,65.991680,121.864130,70.723007,106.323146,117.880029,107.106099,114.629307,124.356951,81.355114,89.538577,87.387291
165.849680,153.490946,125.710409,63.320081,138.957535,68.997268,104.765287,117.087783,93.637237,115.273171,119.495867,94.605311,89.538157,87.386157
165.335038,148.116603,127.702348,50.955823,147.726610,70.649359,103.228428,113.620131,81.167991,117.509341,111.849409,87.665125,89.537225,87.386810
159.881250,138.579567,130.819031,40.465897,150.345857,72.180656,101.035112,104.332993,78.991408,118.479371,99.396689,93.768410,89.537674,87.385927
173.660645,139.642818,137.330655,63.332098,151.017978,74.438792,95.797465,85.519344,84.777604,121.960801,84.983924,85.952252,89.536383,87.386097
174.276459,142.877498,134.649109,65.750567,153.388510,80.536678,95.763971,76.955849,88.616847,124.207582,78.018095,81.718101,89.538692,87.386184
163.477266,142.907030,136.459775,60.492079,159.380922,78.723736,96.233847,72.346249,91.131573,123.410394,73.628742,81.274415,89.537420,87.386203
153.065965,142.662581,129.596704,65.111701,162.870005,74.784892,96.691258,60.455842,80.540788,117.233567,60.386326,72.696850,89.536770,87.386379
151.268905,141.252576,125.880834,60.751866,165.808264,77.829280,97.489030,54.383085,83.172952,114.759828,56.038893,72.539952,89.537907,87.386284
154.167846,142.750920,129.616303,59.571007,163.778795,84.923180,98.577664,48.920473,78.937846,113.722716,53.628807,75.888338,89.538167,87.386920
152.352049,143.075755,131.557575,61.369231,162.322172,81.204438,99.120949,47.114001,77.362088,113.090063,49.684307,78.895692,89.536697,87.385203
150.337183,144.869051,132.913932,64.041384,166.330275,81.064388,98.679638,46.785125,76.399093,112.173235,44.244757,81.357565,89.536083,87.384959
151.222270,149.907468,131.769639,61.438342,169.108161,77.529817,102.543807,46.724443,70.426539,118.637250,45.724143,77.430549,89.537086,87.385931
